id,genre,song_name,artist_name,audio,img
7dfp5w1Mfoo4KFFSt7ROA7,Devotional,Govind Bolo Hari Gopal Bolo,Bhavdeep Jaipurwale,https://p.scdn.co/mp3-preview/02c7661199bf4a9eb7a76f65f6d54bcbf8f4a8aa?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273189639034cbc7a2d94541e06
3agph7D1xrvXRIDFbxyMdF,Devotional,Aarti Balkrishna Ki Kije,Sadhana Sargam,https://p.scdn.co/mp3-preview/d745d115faa4a7b0a67ea72fac7c6526fb511108?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273df528318f46520b55ac44c2f
2topzayaGiaOmgKzecxTIi,Devotional,"Hare Krishna (Mahamantra) - Version, 2",Jagjit Singh,https://p.scdn.co/mp3-preview/acacafad2c12b395d42506370a5dc58c28b08ea7?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273bb1b1c961e8179965f78a0bc
7LEDLEAUTaMd4MdEcwdtnd,Devotional,Hey Govinda Hey Gopala,Jagjit Singh,https://p.scdn.co/mp3-preview/f0e5d53510051be4473c63681dfb6a0712e6c8a4?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273bb1b1c961e8179965f78a0bc
2DSiWkbowra7LWizvmYW3A,Devotional,Purification (Hare Krishna),Niranjana Swami,https://p.scdn.co/mp3-preview/3f4689b7ee61aceb49e6e4206a101950793bfb21?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273c8bb900abdf0bf4e129a157d
5Bv49G5H7OlCScUgT0KnOT,Devotional,Sri Krishna Chant,Bappi Lahiri,https://p.scdn.co/mp3-preview/ece3b5129688ebcada318c4e1182fa2c9fec26b9?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273a85f15b736d5727a5e5143b6
34vqRpTJi3UVtWJmMvNysI,Devotional,Hey Gobind Hey Gopal,Jagjit Singh,https://p.scdn.co/mp3-preview/1ee0c5d9802d64f5620393eccd046c997702e6bc?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2731aed74975609f2368e848ee4
5MZAY0N75nmcnLl7dsdffu,Devotional,Baat Nihare Ghanshyam,Jagjit Singh,https://p.scdn.co/mp3-preview/92c3fb9e18e18371f558edef10f535d1b3f5ad83?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2730866a6ceb94871a787999540
7inhQv9gwmEvO9tGYVsH9s,Devotional,Shri Krishna Sharanam Mama,Jagjit Singh,https://p.scdn.co/mp3-preview/f567dc78fe047ca6772452d2d8c9cbc0b1682181?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273ce8874873359b5e787d71460
3bFZpnIkCdRWzQyRrtgv6S,Devotional,Hare Krishna,Krishna Das,https://p.scdn.co/mp3-preview/126a97fa20a590a1ee72b1de862a29c91f73a433?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27336687ad73d96eb8346aa9340
5MecGeJDMAOpGoYKkhS4Xi,Devotional,Hare Krishna Hare Rama,Jagjit Singh,https://p.scdn.co/mp3-preview/c839577ef5386e86a42a6c3353381d937bebf446?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27391c970a21cf25d594f16b5ad
1iN9DRWNf8pGKnF3vdle19,Devotional,Shri Krishna Govind Hare Murari,Ravindra Jain,https://p.scdn.co/mp3-preview/4b855b1744d48a99e9348a04db1d95ef0b0d6cff?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27376f2b5afe0ccbe6a064fa285
2oWhLBWgV8r8n3xrnZiYCO,Devotional,Govind Bolo - Dhun,Lalitya Munshaw,https://p.scdn.co/mp3-preview/3d1fd3c064432a56f62272444d050f5a61fe0159?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2734d5db629f1875a97632f2b8a
5JgyJZouTO78xhFoMKgInw,Indian Classical,Dream (Raag Tilak Nat) [Radio Edit],Niladri Kumar,https://p.scdn.co/mp3-preview/c9ea296933504c7430dc008b6e87575470a0b29d?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2734dc733eec183d653293189a0
2Gq5kWJ1NRufo0QOfVyGTj,Indian Classical,Raga Kirwani - Alap Gat - Teental,Iqubal Huein,https://p.scdn.co/mp3-preview/e00be2ae5033d3c3bb683fef4c66dc7da7378ef1?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273433cb0683c24b68b41d3e0d5
4wYMQoYxttFTyDXFeVIxK6,Indian Classical,Raga Mand Bhairav,Vilayat Khan,https://p.scdn.co/mp3-preview/857baf5654aa1b2c6e63b6b288eff180c8180e5d?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273886a7fc53ab9df6efffbaf9e
